timestamp,symbol,open,high,low,close,volume
2026-05-20 09:28:00,NSE_FO|72067,203.6,204.6,193.35,200.25,798330
2026-05-20 09:29:00,NSE_FO|72067,200.8,207.8,199.4,204.2,793065
2026-05-20 09:30:00,NSE_FO|72067,203.8,217.0,202.9,215.3,1266135
2026-05-20 09:31:00,NSE_FO|72067,215.25,223.45,214.8,222.6,1669460
2026-05-20 09:32:00,NSE_FO|72067,222.6,236.2,220.4,228.75,1925170
2026-05-20 09:33:00,NSE_FO|72067,228.75,232.55,223.6,226.5,1076595
2026-05-20 09:34:00,NSE_FO|72067,226.45,235.4,224.0,231.0,967070
2026-05-20 09:35:00,NSE_FO|72067,231.3,235.0,227.65,230.55,907400
2026-05-20 09:36:00,NSE_FO|72067,230.55,234.0,224.25,232.55,661700
2026-05-20 09:37:00,NSE_FO|72067,232.65,238.0,229.3,233.55,1043835
2026-05-20 09:38:00,NSE_FO|72067,233.6,238.95,231.0,237.5,632580
2026-05-20 09:39:00,NSE_FO|72067,238.0,243.0,233.25,240.25,923260
2026-05-20 09:40:00,NSE_FO|72067,240.8,241.25,228.9,230.2,939835
2026-05-20 09:41:00,NSE_FO|72067,230.7,234.55,223.35,228.25,800735
2026-05-20 09:42:00,NSE_FO|72067,227.75,229.45,220.8,220.95,575575
2026-05-20 09:43:00,NSE_FO|72067,220.95,231.0,218.5,229.4,753740
2026-05-20 09:44:00,NSE_FO|72067,229.6,236.9,225.55,235.0,796510
2026-05-20 09:45:00,NSE_FO|72067,235.2,238.3,228.05,235.0,743665
2026-05-20 09:46:00,NSE_FO|72067,235.0,242.25,229.3,229.5,891930
2026-05-20 09:47:00,NSE_FO|72067,230.0,233.55,224.0,227.95,549445
2026-05-20 09:48:00,NSE_FO|72067,228.3,234.25,227.0,233.75,311480
2026-05-20 09:49:00,NSE_FO|72067,233.25,234.6,228.15,231.25,304850
2026-05-20 09:50:00,NSE_FO|72067,230.85,234.7,228.0,231.7,310440
2026-05-20 09:51:00,NSE_FO|72067,231.9,241.45,228.8,239.1,678925
2026-05-20 09:52:00,NSE_FO|72067,239.6,241.9,230.65,236.7,705185
2026-05-20 09:53:00,NSE_FO|72067,236.95,239.25,229.5,231.0,414115
2026-05-20 09:54:00,NSE_FO|72067,230.75,234.4,229.4,233.35,235755
2026-05-20 09:55:00,NSE_FO|72067,233.15,233.95,225.25,227.8,468780
2026-05-20 09:56:00,NSE_FO|72067,227.8,233.55,227.25,231.05,266370
2026-05-20 09:57:00,NSE_FO|72067,231.55,238.65,230.55,237.45,559975
