Date,Open,High,Low,Close,Volume,mean_middle,min_close_rolling,RSI,MFI,EMA9,volume_profile,BBL,BBM,BBU,BBB,BBP,cumulative_avg_bbb,BBM_Angle,EMA_Angle,TP,CumVol,CumTPV,VWAP,STOCHRSIk,STOCHRSId,ATR,ATR_pctile,trend_norm,RSI_lo,RSI_hi,MFI_pct,BBM_Angle_pct,EMA_Trend,Trend,is_downtrend,is_sideways,regime,Buy_Signal,Mid_Buy_Signal,OverSold_Buy_Signal,RSI_Range_Buy_Signal,Super_Low_Buy_Signal,Mid_Buy_Signal_2,Sell_Signal
2025-11-07 14:06:00+05:30,80.85,85.45,80.55,84.65,2104575,89.07499999999999,81.0,28.08627094170144,18.601336785002903,91.1785562442081,1,72.83629976222166,96.80714285714286,120.77798595206407,49.52288103429453,0.24641812119410522,21.775816944328398,-67.45256352279276,-65.81373353265084,83.55,400931700,31583390185.0,78.7749888197915,5.555325927096895,4.137799240469485,5.85510494945449,0.5,-0.10577042428703899,30.528852121435197,69.4711478785648,0.5,0.5,Downtrend,Downtrend,True,False,downtrend,False,False,False,False,False,False,False
2025-11-07 14:07:00+05:30,84.6,85.8,81.7,84.65,1938000,89.07499999999999,81.0,28.08627094170144,24.95758012308036,89.99154601798844,1,72.59970650275042,94.55000000000001,116.5002934972496,46.43108090375375,0.2744904868529322,21.8638714584692,-67.28287529219017,-63.98538925474666,84.05,402869700,31746279085.0,78.80036419964073,10.252837764466683,5.792694880967279,5.729740310207741,0.25,-0.10753308875900042,33.03766544379501,66.962334556205,0.625,0.625,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 14:08:00+05:30,84.8,85.7,81.0,84.0,1681875,89.07499999999999,81.0,27.6146080792888,21.01177915715845,88.90217401471781,0,73.88587980267587,92.18214285714288,110.47840591160988,39.69589442680066,0.27639852376452306,21.927330614940132,-66.89839937890041,-59.93246053586361,83.56666666666666,404551575,31886827772.5,78.82017953458715,16.001359803020282,10.603174498194619,5.656187430907189,0.125,-0.10923924317183073,34.296196215859155,65.70380378414085,0.5625,0.75,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 14:09:00+05:30,83.8,85.8,81.55,83.5,1265625,89.07499999999999,81.0,27.23571410461408,26.220227705275562,87.9199605574964,0,74.0046125241519,90.45,106.89538747584811,36.3634880615768,0.288694550061321,21.978522662623245,-65.76459481852021,-55.56840697231562,83.61666666666666,405817200,31992655116.25,78.83513837326264,16.488615849517757,14.247604472334906,5.555745471556676,0.125,-0.10977235985227474,34.298861799261374,65.70113820073863,0.75,1.0,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 14:10:00+05:30,83.45,84.6,78.65,79.8,1567800,89.07499999999999,79.8,24.551187450039357,26.291340662165045,86.44360409249705,0,74.61269586704505,88.42142857142858,102.23016127581211,31.233905462698022,0.18782694415209655,22.011227195485695,-64.79887635452492,-51.05103019024141,81.01666666666667,407385000,32119673046.25,78.84353387152203,13.405789706703619,15.298588453080551,5.583906509302627,0.125,-0.11031858237046105,34.30159291185231,65.69840708814769,0.8125,1.0,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 14:11:00+05:30,79.75,86.0,78.65,83.9,2232750,89.07499999999999,79.8,32.49177206256581,34.19551208556785,85.98113062113394,1,75.39158597205976,87.175,98.95841402794024,27.033929516352714,0.361033483494916,22.028912767038047,-62.56638638200346,-46.1091271873083,82.85000000000001,409617750,32304656383.75,78.8653723715586,17.61100638153888,15.835137312586749,5.71005604435244,0.3125,-0.11027583970191714,32.426379198509586,67.57362080149042,1.0,1.0,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 14:12:00+05:30,83.7,86.0,81.3,81.45,1312875,89.07499999999999,79.8,30.430763355277012,40.1149640768252,85.15728869001867,0,75.89897955991543,85.93571428571428,95.97244901151313,23.358704373898085,0.27653517761189755,22.033578702500712,-59.86778434013835,-44.034451072241566,82.91666666666667,410930625,32413515602.5,78.87831578018796,19.926136529519727,16.980977539254074,5.637909184041552,0.1875,-0.1099370611667498,33.67468530583375,66.32531469416625,1.0,1.0,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 14:13:00+05:30,81.25,83.65,80.6,83.0,997200,89.07499999999999,79.8,33.312798157779476,41.180794104073826,84.76505438274255,1,77.39875859634907,84.88571428571429,92.3726699750795,17.640084088036527,0.37406668584984193,22.01821683321937,-55.57845481742992,-39.60516937546489,82.41666666666667,411927825,32495701502.5,78.88688146400403,34.26522584697217,23.934122919343594,5.453058528038585,0.0625,-0.10972866820808855,34.923643341040446,65.07635665895955,1.0,1.0,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 14:14:00+05:30,83.0,85.0,81.95,84.75,760500,89.07499999999999,79.8,36.51075907208257,47.096310279592615,84.7623172222439,1,78.73330237664823,84.24642857142857,89.75955476620891,13.088094743638946,0.5456702250937226,21.98710142524174,-51.131625601357236,-32.273584887920116,83.89999999999999,412688325,32559507452.5,78.89611961399683,45.88983155314964,33.360397976547176,5.281411490321543,0.0625,-0.10853998343392385,34.91769991716962,65.08230008283039,1.0,1.0,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,True,False,False
2025-11-07 14:15:00+05:30,84.65,86.8,80.25,83.1,1526925,89.07499999999999,79.8,34.81550820824112,51.05153234530885,84.46007772729045,0,78.75413648919822,83.91785714285714,89.08157779651607,12.306607507549895,0.4208073792413974,21.95348859913864,-42.009815271681965,-21.638488665274117,83.38333333333334,414215250,32686827548.75,78.91266086593866,67.29542236316928,49.15015992109703,5.372024955298575,0.125,-0.10725270667519136,34.28626353337596,65.71373646662404,1.0,1.0,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 14:16:00+05:30,82.9,87.8,82.4,85.95,1728075,89.07499999999999,79.8,39.99784418911099,50.06821551426094,84.73097268596491,1,80.0434841072569,83.56428571428572,87.08508732131453,8.426570219403951,0.8388027148350993,21.906682653188003,-35.83466436290767,-14.037946799948188,85.38333333333333,415943325,32834376352.5,78.93954387295433,84.02662203789245,65.73729198473713,5.374023172777248,0.1875,-0.10509516006071896,33.650475800303596,66.3495241996964,0.9375,1.0,Downtrend,Downtrend,False,True,sideways,False,False,False,False,False,False,False
